cell,day,cumulative_mean,marginal_return
fine:8_2_3,137,0.004828296456335381,0.0005039800087349678
fine:8_2_3,138,0.005419866346581979,0.0005915698902465979
fine:8_2_3,139,0.004358622954976321,-0.0010612433916056584
fine:8_2_3,140,0.004210841480025694,-0.00014778147495062618
fine:8_2_3,141,0.005043405998501772,0.0008325645184760772
fine:8_2_3,142,0.005610980336222215,0.0005675743377204431
fine:8_2_3,143,0.0065149532473270065,0.0009039729111047917
fine:8_2_3,144,0.0066179473449178815,0.00010299409759087497
fine:8_2_3,145,0.004400614261399562,-0.002217333083518319
fine:8_2_3,146,0.0046428648694433194,0.00024225060804375712
fine:8_2_3,147,0.005144050248678714,0.0005011853792353943
fine:8_2_3,148,0.004808505216066312,-0.00033554503261240196
fine:8_2_3,149,0.003615245955185113,-0.001193259260881199
fine:8_2_3,150,0.005829058663940789,0.0022138127087556764
fine:8_2_3,151,0.006146424889148693,0.0003173662252079039
fine:8_2_3,152,0.007260623243463265,0.0011141983543145719
fine:8_2_3,153,0.008111884544084028,0.0008512613006207625
fine:8_2_3,154,0.007191704156850726,-0.0009201803872333015
fine:8_2_3,155,0.007717995167156528,0.0005262910103058021
fine:8_2_3,156,0.007741527512449658,2.3532345293129746e-05
fine:8_2_3,157,0.00619340527032567,-0.0015481222421239883
fine:8_2_3,158,0.008480914266417795,0.002287508996092125
fine:8_2_3,159,0.010226000645148895,0.0017450863787311002
fine:8_2_3,160,0.008410077264862413,-0.0018159233802864817
fine:8_2_3,161,0.009564358471191404,0.0011542812063289904
fine:8_2_3,162,0.011232351240733598,0.001667992769542194
fine:8_2_3,163,0.010837473705533555,-0.00039487753520004235
fine:8_2_3,164,0.012755588459562355,0.0019181147540287997
fine:8_2_3,165,0.013810580276375157,0.0010549918168128013
fine:8_2_3,166,0.013894542982496668,8.396270612151188e-05
fine:8_2_3,167,0.012438766143879038,-0.0014557768386176308
fine:8_2_3,168,0.0152413445743236,0.002802578430444562
fine:8_2_3,169,0.014218682907743665,-0.0010226616665799347
fine:8_2_3,170,0.009352185519797019,-0.004866497387946646
fine:8_2_3,171,0.009906711309870244,0.0005545257900732257
fine:8_2_3,172,0.008745730707082379,-0.0011609806027878655
fine:8_2_3,173,0.007695575088746974,-0.0010501556183354051
fine:8_2_3,174,0.007771147230696263,7.557214194928944e-05
fine:8_2_3,175,0.006996958485273739,-0.0007741887454225244
fine:8_2_3,176,0.00883545785684646,0.001838499371572721
fine:8_2_3,177,0.01061035329718073,0.001774895440334271
fine:8_2_3,178,0.010681251711165192,7.089841398446109e-05
fine:8_2_3,179,0.00959470080684214,-0.0010865509043230526
fine:8_2_3,180,0.010946010356389172,0.001351309549547033
fine:8_2_3,181,0.009647962291932462,-0.0012980480644567104
fine:8_2_3,182,0.010367666310347048,0.0007197040184145857
fine:8_2_3,183,0.013436301598515433,0.003068635288168385
fine:8_2_3,184,0.010651095624628777,-0.002785205973886656
fine:8_2_3,185,0.011583828768451227,0.0009327331438224503
fine:8_2_3,186,0.008772236169914625,-0.002811592598536602
fine:8_2_3,187,0.0068817185076704744,-0.0018905176622441506
fine:8_2_3,188,0.00608463198889896,-0.0007970865187715143
fine:8_2_3,189,0.006620963745701041,0.0005363317568020812
fine:8_2_3,190,0.00757446185109757,0.0009534981053965288
fine:8_2_3,191,0.007985978225982621,0.00041151637488505075
fine:8_2_3,192,0.008063600372604491,7.762214662187031e-05
fine:8_2_3,193,0.009722009525518051,0.0016584091529135599
fine:8_2_3,194,0.008694092038630084,-0.0010279174868879672
fine:8_2_3,195,0.01134630679769318,0.0026522147590630953
fine:8_2_3,196,0.010886618512740219,-0.0004596882849529603
fine:8_2_3,197,0.011010091305805174,0.0001234727930649552
fine:8_2_3,198,0.00939423875122059,-0.001615852554584584
fine:8_2_3,199,0.011888443403141763,0.002494204651921173
fine:8_2_3,200,0.009990384447063098,-0.0018980589560786652
fine:10_2_3,1,0.00619899728109265,0.00619899728109265
fine:10_2_3,2,0.011120079590763212,0.004921082309670562
fine:10_2_3,3,0.010595471241977133,-0.0005246083487860792
fine:10_2_3,4,0.012929174399617008,0.0023337031576398746
fine:10_2_3,5,0.014233827710958904,0.001304653311341896
fine:10_2_3,6,0.014973537960421755,0.0007397102494628507
fine:10_2_3,7,0.015631053592187045,0.0006575156317652903
fine:10_2_3,8,0.017236620013646838,0.0016055664214597934
fine:10_2_3,9,0.015052890234608183,-0.0021837297790386553
fine:10_2_3,10,0.016232800771670206,0.0011799105370620226
fine:10_2_3,11,0.015519654858814378,-0.0007131459128558275
fine:10_2_3,12,0.015174829988616976,-0.0003448248701974025
fine:10_2_3,13,0.014135656766758634,-0.0010391732218583416
fine:10_2_3,14,0.013803379591801009,-0.0003322771749576254
fine:10_2_3,15,0.014768803258627153,0.0009654236668261446
