trim,tilt_power,ml_blend_weight,base_unit_fraction,max_gross_leverage,search_ann_ret,search_sharpe,holdout_ann_ret,holdout_sharpe,final_nav,n_positions
0.1,1.0,0.0,0.002,1.5,0.039670591158274426,1.1095288210469116,0.01845596675373251,0.41594567584636855,18966389.65851798,120016
0.1,1.0,0.0,0.002,2.0,0.042987504124195164,1.0258461351186814,0.02430277172370099,0.5485936774822626,20478620.479620453,120016
0.1,1.0,0.0,0.002,2.5,0.042987504124195164,1.0258461351186814,0.02430277172370099,0.5485936774822626,20478620.479620453,120016
0.1,1.0,0.0,0.002,3.0,0.042987504124195164,1.0258461351186814,0.02430277172370099,0.5485936774822626,20478620.479620453,120016
0.1,1.0,0.0,0.0025,1.5,0.03962582165764705,1.047979227960902,0.01875497743011678,0.39496260598716515,18987184.46430529,120016
0.1,1.0,0.0,0.0025,2.0,0.0492465956791055,1.0505694183509875,0.021509247622779393,0.40978719050106976,21888188.03868021,120016
0.1,1.0,0.0,0.0025,2.5,0.050393300576342615,0.9919679450962611,0.026653883564378367,0.5210521305589848,22870598.546253774,120016
0.1,1.0,0.0,0.0025,3.0,0.050393300576342615,0.9919679450962611,0.026653883564378367,0.5210521305589848,22870598.546253774,120016
0.1,1.0,0.0,0.003,1.5,0.036740848043536944,0.9066058887429483,0.01720091838477833,0.33978923248602194,18115660.241002508,120016
0.1,1.0,0.0,0.003,2.0,0.04866223132884473,1.0403360868099476,0.015671114028551703,0.29572067779575495,21016974.58485947,120016
0.1,1.0,0.0,0.003,2.5,0.05697998875896282,0.9819898956197779,0.024267771786936176,0.4124103820820889,24592104.264305927,120016
0.1,1.0,0.0,0.003,3.0,0.057923167401311204,0.9826246784876917,0.027577016250035724,0.4826338754493187,25361617.794484228,120016
0.1,1.0,0.0,0.0035,1.5,0.03733069456864846,0.8897354631084151,0.01362963980643328,0.28042211215468626,17892370.371424302,120016
0.1,1.0,0.0,0.0035,2.0,0.04923393532968823,0.9947335560249411,0.016928826966349675,0.30480820676492626,21326285.965276495,120016
0.1,1.0,0.0,0.0035,2.5,0.06036129565256898,1.0588732004467654,0.015053563261911096,0.2590222663430992,24395077.016915955,120016
0.1,1.0,0.0,0.0035,3.0,0.06446223381893246,0.9701716142616673,0.027221535957468124,0.42144904388025,27549245.510893885,120016
0.1,1.0,0.0,0.004,1.5,0.0354070992866502,0.7994002397559208,0.009519162973989914,0.1986182423781534,17038717.98463195,120016
