decile,horizon,cumulative_mean,marginal_return,marginal_per_day
7,80,0.002765226478272367,-0.0002759758096728174,-1.3798790483640871e-05
7,100,0.0038862430108695567,0.0011210165325971897,5.6050826629859486e-05
7,120,0.0060180862790760225,0.0021318432682064657,0.00010659216341032329
7,150,0.0062933419198441965,0.00027525564076817405,9.175188025605801e-06
7,180,0.007410994412633935,0.001117652492789738,3.725508309299127e-05
8,1,0.001568903250420524,0.001568903250420524,0.001568903250420524
8,5,0.0030892967740715088,0.0015203935236509849,0.0003800983809127462
8,10,0.0028155431966793588,-0.00027375357739215,-5.475071547843e-05
8,20,0.004007879875313957,0.0011923366786345986,0.00011923366786345986
8,40,0.006719931267739421,0.0027120513924254637,0.00013560256962127318
8,60,0.011385887820997908,0.0046659565532584865,0.00023329782766292432
8,80,0.009132040759562924,-0.0022538470614349836,-0.00011269235307174918
8,100,0.009073618257377992,-5.8422502184931474e-05,-2.9211251092465736e-06
8,120,0.009845132805016267,0.0007715145476382742,3.857572738191371e-05
8,150,0.01047783744168441,0.0006327046366681431,2.109015455560477e-05
8,180,0.01501175576775828,0.004533918326073871,0.00015113061086912901
9,1,0.002946023469202148,0.002946023469202148,0.002946023469202148
9,5,0.005073577189648456,0.002127553720446308,0.000531888430111577
9,10,0.006750906846543394,0.0016773296568949377,0.00033546593137898757
9,20,0.007765060814089231,0.0010141539675458371,0.00010141539675458371
9,40,0.00891247813971273,0.0011474173256235,5.7370866281174996e-05
9,60,0.013688542901569766,0.004776064761857036,0.0002388032380928518
9,80,0.014523132826212537,0.0008345899246427705,4.1729496232138524e-05
9,100,0.015636573611212498,0.0011134407849999611,5.567203924999806e-05
9,120,0.01546394923810702,-0.0001726243731054785,-8.631218655273925e-06
9,150,0.015911083403510665,0.0004471341654036457,1.4904472180121523e-05
9,180,0.01626658794823291,0.000355504544722246,1.1850151490741535e-05
10,1,0.003720307664839765,0.003720307664839765,0.003720307664839765
10,5,0.008121267829677235,0.00440096016483747,0.0011002400412093675
10,10,0.009705249467854862,0.001583981638177627,0.0003167963276355254
10,20,0.01225247224976583,0.0025472227819109683,0.0002547222781910968
10,40,0.015969921046121313,0.0037174487963554832,0.00018587243981777417
10,60,0.020480469054547597,0.004510548008426284,0.00022552740042131419
10,80,0.018671702198016445,-0.0018087668565311514,-9.043834282655756e-05
10,100,0.01755274885831671,-0.001118953339699736,-5.59476669849868e-05
10,120,0.021541719293604593,0.0039889704352878835,0.0001994485217643942
10,150,0.02590576328721145,0.004364043993606858,0.0001454681331202286
10,180,0.028616626357483316,0.0027108630702718656,9.036210234239552e-05
