w_equity,w_options,w_beta,sharpe,annualized_return,annualized_vol,max_drawdown
1.5,2.0,0.25,1.5463288776019295,0.16118456350891064,0.09987875472534842,-0.2378716932035652
1.5,2.0,0.5,1.5575304868950528,0.16445491599824913,0.10104612831843039,-0.25743858409518267
1.5,2.0,0.75,1.5370805542509671,0.16758754816789811,0.10436431442291368,-0.2804581420780992
1.5,2.0,1.0,1.4966157421776216,0.17059391845275496,0.10925749131923732,-0.3012569068968241
1.5,3.0,0.0,1.3337088172755396,0.17667762452765912,0.12812317446347812,-0.28524937807699735
1.5,3.0,0.25,1.377916093859406,0.17934679527770236,0.12541899912975626,-0.29994933435746507
1.5,3.0,0.5,1.4036906634970288,0.1819246428435508,0.12460847052834975,-0.3137288621138895
1.5,3.0,0.75,1.4126337097444293,0.18441739012882596,0.12538793043516694,-0.32807906962702615
1.5,3.0,1.0,1.4077330888716821,0.18683063915928044,0.1274638390291019,-0.3440275107906591
1.5,4.0,0.0,1.2305751727921959,0.19177459424610666,0.15188825994518437,-0.3351314433734338
