kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_net_fwd,60,1,-0.008306544981134157,0.012112091826984089,-0.6858059780085475,8888,65
rr_ret_net_fwd,60,2,-0.0038515254383437673,0.012351755522630709,-0.31182008349234713,9725,66
rr_ret_net_fwd,60,3,-0.005985609716875838,0.011452122247988096,-0.5226637986620678,9109,65
rr_ret_net_fwd,60,4,-0.008042919159593301,0.011212359881191044,-0.7173261690507685,12794,65
rr_ret_net_fwd,60,5,-0.004719811983992779,0.01150641862909435,-0.4101894895479104,8906,65
rr_ret_net_fwd,60,6,-0.0005100217094032662,0.011113454887126433,-0.04589227333743564,11020,66
rr_ret_net_fwd,60,7,-0.0014140798180104117,0.011271471479584636,-0.12545654048556595,10742,66
rr_ret_net_fwd,60,8,0.002375889591668787,0.01100656215470333,0.21586118883211144,10293,66
rr_ret_net_fwd,60,9,0.006908983928743369,0.011216089867407701,0.6159886386805669,11083,65
rr_ret_net_fwd,60,10,0.017271751697585016,0.011855127696369521,1.4569013628486065,10093,66
rr_ret_mktadj_fwd,1,1,-0.004993702100254314,0.0005228696872510372,-9.550567229300416,11350,67
rr_ret_mktadj_fwd,1,2,-0.0027987175570028298,0.0004886860311405087,-5.727025899371641,12003,67
rr_ret_mktadj_fwd,1,3,-0.0023899886024388124,0.00042833195883134934,-5.5797578330592,11203,67
rr_ret_mktadj_fwd,1,4,-0.0012654467623919696,0.00029911558070139753,-4.230628038247348,15497,67
rr_ret_mktadj_fwd,1,5,5.109369335526153e-05,0.0003869143433334901,0.13205427567006153,10678,67
rr_ret_mktadj_fwd,1,6,0.0003077037389510891,0.0004948291775529408,0.6218383088741134,13315,67
rr_ret_mktadj_fwd,1,7,0.0014978550900254315,0.0004299772259797906,3.483568429961061,12826,67
rr_ret_mktadj_fwd,1,8,0.0012469311527781208,0.0004316683757324403,2.888632160422617,12213,67
rr_ret_mktadj_fwd,1,9,0.002179785787929983,0.00042927193805266945,5.077866952632097,13110,67
rr_ret_mktadj_fwd,1,10,0.003509455742979257,0.0005696401497879116,6.160829331088929,12056,67
rr_ret_mktadj_fwd,5,1,-0.00726508002727987,0.0011142160895932565,-6.520351029872473,11287,67
