cp_type,horizon,decile,mean,se,t_stat,n_events,n_quarters
straddle,10,1,-0.00378407965721804,0.0033114078650085367,-1.1427404329150148,11130,67
straddle,10,2,-0.0004034739592146984,0.003170302015986784,-0.12726672638130776,11804,67
straddle,10,3,-0.0005717829924408853,0.0030528906758622385,-0.18729232493050038,11070,67
straddle,10,4,-0.0003461650597384425,0.0033280065728918664,-0.10401573799706858,15343,67
straddle,10,5,-0.0003216208697301578,0.0033595858415122514,-0.09573229704569373,10582,67
straddle,10,6,0.0017790470204914917,0.002883553309237289,0.6169634578256008,13175,67
straddle,10,7,0.0015586890255016072,0.00295476007770144,0.5275179657612468,12698,67
straddle,10,8,0.0009257877643697693,0.0028212205219525915,0.3281515064724623,12075,67
straddle,10,9,0.0026724567077031345,0.002810266483119002,0.9509620257567468,12996,67
straddle,10,10,0.008659595545925904,0.003168711047748729,2.732844811482031,11943,67
straddle,20,1,-0.018404373894003193,0.005214655179000715,-3.5293558753639442,10832,67
straddle,20,2,-0.010098741214338987,0.005412855573893763,-1.8656956714391717,11561,67
straddle,20,3,-0.008883337568578124,0.004982371948591109,-1.782953512952824,10847,67
straddle,20,4,-0.01083290150610918,0.005098996969523277,-2.1245161687401404,15050,67
straddle,20,5,-0.01028251227685077,0.005358191957823356,-1.9190264846405032,10394,67
straddle,20,6,-0.0062587163801450275,0.005403304084867966,-1.1583128178317146,12981,67
straddle,20,7,-0.005944483682776396,0.005331732777337938,-1.1149252843358732,12501,67
straddle,20,8,-0.007559528074575324,0.005239219827128469,-1.4428728558844568,11909,67
straddle,20,9,-0.008236091204142634,0.004847871070407775,-1.6989088786657565,12806,67
straddle,20,10,0.003424933023169288,0.005179594442889016,0.6612357513571984,11729,67
straddle,40,1,-0.04707804736095637,0.008620935515423075,-5.460897750218932,10045,67
straddle,40,2,-0.03551136535848311,0.009419837960042001,-3.769848856118197,10826,67
straddle,40,3,-0.02816953230085532,0.008802253662851338,-3.200263634725824,10093,67
straddle,40,4,-0.018815994443602053,0.01855238369376732,-1.0142089962231264,14217,66
straddle,40,5,-0.02539034147896334,0.009333935882734087,-2.720218115696551,9858,67
straddle,40,6,-0.032259317456606665,0.009077425428557896,-3.5537959204950043,12216,66
straddle,40,7,-0.03278694703429496,0.008633184421156704,-3.797781378786074,11855,67
straddle,40,8,-0.031196714549780853,0.009179386023131657,-3.398562220955353,11311,66
straddle,40,9,-0.031519372481232544,0.008483468415589874,-3.715387496853306,12165,66
straddle,40,10,-0.01911702202442805,0.008900295061732065,-2.147908793116768,11110,67
straddle,60,1,-0.08487877578456213,0.012178615824469838,-6.9694928395737525,8849,65
straddle,60,2,-0.06840465706400929,0.013028600614720384,-5.250345688448089,9699,66
straddle,60,3,-0.06995049149277478,0.013613987646089577,-5.138133903982721,9081,65
straddle,60,4,-0.065661043825857,0.01444904168804973,-4.544318249158547,12780,65
straddle,60,5,-0.061438811505564704,0.013923291818028318,-4.412664211060476,8892,65
straddle,60,6,-0.06666236835146992,0.013589347627615577,-4.905487016610133,10996,66
straddle,60,7,-0.06669805143333528,0.014270208642866976,-4.67393666781982,10724,66
straddle,60,8,-0.06065569596624667,0.013633055492254893,-4.449163725674404,10273,66
straddle,60,9,-0.062134462526475046,0.014128962087652002,-4.397666448604701,11071,65
straddle,60,10,-0.043211398761452274,0.014241653996602559,-3.034155918389861,10069,66
