base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_leverage_capped_quarters,pct_liquidity_capped,total_transaction_costs,cost_pct_of_gross_pnl,final_nav,strategy
0.05,0.1,0.02969362202026593,0.06163115380884238,0.6398919624508798,-0.165268529873862,1.75945982121898,0.9230769230769231,0.9999481013753135,2602268.467938845,0.25306145641317435,17680879.76341454,rankweighted
0.001,0.01,0.01511093626759008,0.020843241923017234,0.8356748163444505,-0.06135098404131409,0.4374846775809071,0.0,0.2026031505692572,675438.7160281054,0.16604377812750015,13392396.427481197,balanced
0.0015,0.01,0.02003008550498664,0.03165098215837851,0.7648079841050257,-0.09043561271024896,0.6433687511259575,0.0,0.2729231575575809,965803.1340755167,0.17002409683276518,14714586.599301374,balanced
0.002,0.01,0.02417241669707204,0.04240917943714973,0.7171106314515399,-0.11308943946316997,0.8449240684080513,0.0,0.333080977200594,1238984.9177141187,0.17299189023306288,15923113.352007661,balanced
0.003,0.01,0.029569747710797456,0.06338620507013287,0.6188225251502804,-0.15252731291144903,1.2153340186105257,0.0,0.42390006697143523,1716285.8465157812,0.18344648525357501,17639498.998003803,balanced
0.004,0.01,0.032975830227309544,0.08368268833737447,0.5406404374409762,-0.18754548830003884,1.5460661431467928,0.0,0.4911626823515709,2120790.298412045,0.19399383515724017,18811465.856496476,balanced
0.005,0.01,0.034461483999336684,0.10107280395008515,0.4747470039725985,-0.21755226066113467,1.795337114080212,0.32051282051282054,0.748449465684419,2406209.3625574955,0.2047547314622543,19345457.352900386,balanced
0.0075,0.01,0.03225001244126369,0.11469145880175673,0.38301899513431753,-0.29553017674073745,1.8775322497925886,0.8333333333333334,0.9829077250094633,2411842.276403269,0.21990732703760482,18555697.136191323,balanced
0.01,0.01,0.02880484897514335,0.1127532527004624,0.33633863228497674,-0.31443955219392156,1.7741168398052998,0.8974358974358975,0.9995923477855749,2225065.9451567065,0.23151061702553205,17386009.23465379,balanced
0.015,0.01,0.024539005064707187,0.11140061529033718,0.27813049107045384,-0.35204703744876537,1.6429402504140633,0.8974358974358975,0.9997088198468392,1993670.444478653,0.2483348113178657,16034484.907155784,balanced
0.02,0.01,0.023041065954115814,0.1135430850865436,0.25251175391533737,-0.3812280351012511,1.5832466688009559,0.8974358974358975,0.9998544099234197,1877072.9158489625,0.25158178324831654,15584011.474336218,balanced
0.03,0.01,0.022647190661376104,0.120510181758879,0.23295211321883233,-0.4232733540979713,1.5344302058214334,0.8974358974358975,0.9999126459540518,1761833.8777127583,0.24370386986685466,15467570.721710775,balanced
0.05,0.01,0.02422870066987559,0.1395017472610239,0.2186325608942131,-0.49987671964101166,1.5344487167507255,0.9102564102564102,1.0,1694611.2125439453,0.22195951583290857,15940164.914016202,balanced
0.001,0.05,0.0233016997466442,0.02736310605443131,1.0623400516533323,-0.05432742206950415,0.5862100213571385,0.0,0.05870191887720933,950202.8126337011,0.1437148828220325,15661518.910094004,balanced
0.0015,0.05,0.030051495772501324,0.04240455069469884,0.9445628288409068,-0.08248853493656684,0.9095988640121173,0.0,0.08907200885187666,1464436.293170559,0.15805458219217833,17800947.05009722,balanced
0.002,0.05,0.036246634743064776,0.05902276060268424,0.8704469147501629,-0.1148581788018006,1.2549482452379859,0.0,0.12072329150045133,2003022.3194522623,0.16679141808272255,20006122.6502178,balanced
0.003,0.05,0.04735190613815732,0.09837092638730147,0.7632092111699125,-0.17533114792058116,2.022476332058823,0.0,0.18297760824622195,3158624.502462075,0.1776416265574582,24622255.822006337,balanced
0.004,0.05,0.05396119862923565,0.13620788727767305,0.6721740497342311,-0.22335214226646816,2.6663827345854787,0.7051282051282052,0.8672800861893253,4070230.292496112,0.18584053481518956,27831505.496974025,balanced
0.005,0.05,0.05309467522412081,0.13669593407027064,0.6531614312029626,-0.22413456445044355,2.659060308156645,0.9102564102564102,0.9991264595405177,3995316.942454024,0.18683203907091825,27389221.610580087,balanced
0.0075,0.05,0.05094237356512399,0.13527125335435508,0.6194307903072352,-0.2235802753428222,2.575942947402973,0.9230769230769231,1.0,3755255.381402037,0.18706515560925926,26319329.69656934,balanced
0.01,0.05,0.04896854163693587,0.13357412310673264,0.5909291193043396,-0.22491037345390374,2.4938842553052436,0.9230769230769231,1.0,3552559.226355661,0.18771115425051466,25373110.058137227,balanced
0.015,0.05,0.04461174662506395,0.12860310764448252,0.5348944508092289,-0.23526992214176248,2.3239976681470362,0.9230769230769231,1.0,3203973.9246346327,0.192993411954601,23397493.92955474,balanced
0.02,0.05,0.041136317386440746,0.12504550290739402,0.48973699444826524,-0.25030913906558433,2.1943810557386603,0.9230769230769231,1.0,2956169.9227549676,0.19862363338307135,21927103.897201825,balanced
0.03,0.05,0.035758016851021424,0.12007116433335917,0.4200586886182054,-0.278859652958315,2.0101649490001283,0.9230769230769231,1.0,2621866.5684261327,0.21067528106761652,19823193.692747306,balanced
0.05,0.05,0.029231433785147587,0.11620782078164475,0.33256744740679645,-0.31517239748202247,1.803450218195754,0.9230769230769231,1.0,2256293.0550265815,0.23062830367576198,17526951.32159893,balanced
0.001,0.1,0.028109778880453407,0.030669130443868868,1.198467702362038,-0.05214878945712475,0.6516627238706661,0.0,0.03019538188277087,1061628.2603443982,0.12914730823296994,17158661.2282241,balanced
0.0015,0.1,0.036697057913100295,0.049155991198210396,1.0629280645952854,-0.08012604403806606,1.0483106205771862,0.0,0.05174271321666715,1703842.6754260655,0.14342095002554062,20176169.799199454,balanced
0.002,0.1,0.04365446234470838,0.06918671412511779,0.9635230393635407,-0.10773280479404655,1.4747448719661982,0.0,0.07145560958565064,2388377.8320670715,0.15537409335320668,22983411.50888602,balanced
0.003,0.1,0.05554211169214973,0.11539429363106485,0.8300966226687828,-0.16851053194944507,2.4208179927484004,0.0,0.11396791194712168,3879412.0967299943,0.17214788295880606,28655933.851487752,balanced
0.004,0.1,0.059751795547680286,0.1446591246217015,0.7441487004858752,-0.20838950899374675,2.9448283542086044,0.9102564102564102,0.9981946830504033,4654938.400437819,0.18168698672892786,30965709.969843503,balanced
0.005,0.1,0.05768197469882419,0.14216798583053758,0.7154059426156881,-0.21488856224139702,2.862371917491722,0.9230769230769231,1.0,4479174.307552965,0.1844193578278524,29808809.124935064,balanced
0.0075,0.1,0.05467762463187453,0.13885385351570667,0.6730758102843806,-0.22228664452741628,2.7328814296325206,0.9230769230769231,1.0,4182537.0255396124,0.18684700022984804,28202285.96008234,balanced
0.01,0.1,0.05306752398997405,0.1367673017431693,0.6523044018735507,-0.22413642678814263,2.6603772159764887,0.9230769230769231,1.0,3996706.4477333585,0.18700510706997012,27375471.61924282,balanced
0.015,0.1,0.05094237356512399,0.13527125335435508,0.6194307903072352,-0.2235802753428222,2.575942947402973,0.9230769230769231,1.0,3755255.381402037,0.18706515560925926,26319329.69656934,balanced
