date,daily_pnl,nav,gross_exposure,n_open_positions,turnover_dollars,daily_return
2010-09-29,87829.35290709216,21504518.078467228,25159292.689675342,525,566239.6684276543,0.008782935290709138
2010-09-30,30744.38349154282,21535262.46195877,25125497.150080618,523,491324.6791770785,0.003074438349154219
2010-10-01,-18609.398552845483,21516653.063405924,24789903.291381773,515,335593.85869884514,-0.0018609398552846164
2010-10-04,-36744.734416915104,21479908.328989007,24671559.048216194,513,118344.24316557877,-0.003674473441691697
2010-10-05,86939.16609598916,21566847.495084997,24515496.133037943,510,156062.91517825105,0.008693916609599069
2010-10-06,-52509.274493671175,21514338.220591325,24463151.431280393,509,245369.2234066281,-0.005250927449367195
2010-10-07,51256.4955716111,21565594.716162935,24359140.36091948,507,244011.89874186678,0.005125649557160958
2010-10-08,5107.450655186685,21570702.166818123,24083071.84703571,500,276068.5138837699,0.0005107450655188412
2010-10-11,24428.692533339807,21595130.859351464,23744992.20855731,493,338079.6384783975,0.0024428692533340307
2010-10-12,37687.70417141229,21632818.563522875,23457872.07102405,487,366135.6844062386,0.003768770417141169
2010-10-13,-11606.231451349244,21621212.332071528,22908595.706977587,477,555592.1190721758,-0.001160623145134747
2010-10-14,25561.442233221907,21646773.774304748,22676033.25355468,473,452924.5084964046,0.0025561442233219744
2010-10-15,-25643.819133250694,21621129.955171496,21954907.230774824,460,885741.7454318879,-0.0025643819133251903
2010-10-18,-32995.755591696914,21588134.1995798,21658827.158570267,454,375095.6190775313,-0.0032995755591694264
2010-10-19,-84072.80795474717,21504061.391625054,21896205.874021858,458,644200.1847742978,-0.008407280795474722
2010-10-20,-9187.119014095075,21494874.27261096,21814301.964270238,459,1001364.5636460545,-0.0009187119014095515
2010-10-21,-51313.270774382254,21443561.001836576,22230873.990700785,466,2057279.5215340143,-0.00513132707743831
2010-10-22,17128.164280030003,21460689.166116606,22744445.47935072,473,1396839.2906117481,0.0017128164280030877
2010-10-25,27380.942506960888,21488070.108623568,22327029.607765395,463,654228.5654519432,0.0027380942506961526
2010-10-26,9451.570644144793,21497521.679267712,23408637.883632816,481,1880113.4908315055,0.0009451570644143968
2010-10-27,49274.617225454844,21546796.296493165,23805861.43219497,488,1723316.1587790237,0.004927461722545326
2010-10-28,25529.17541947429,21572325.47191264,25546571.367152084,518,3422782.340472581,0.0025529175419475884
2010-10-29,40356.92154393001,21612682.39345657,27240678.42291422,554,1977338.7302476226,0.004035692154392973
